timestep,timestamp,id,callsign,lat,long,alt,cas,tas,mach,vs,heading,bank_angle,mass,fuel_consumed,thrust,drag,esf,accel,ap_track_angle,ap_heading,ap_nav_index,ap_dist_to_next_fix,trans_alt,flight_phase,configuration,speed_mode,vertical_mode,ap_speed_mode,ap_lateral_mode
0,2022-03-29T07:42:38,0,HEAD,22.386233887676966,113.42830223057815,20000.0,250.0,335.94525860871147,0.5468599491214221,0.0,173.1229506824887,-30.0,67999.43453574817,0.5654642518292478,51901.86474416917,51901.86474416917,0.8656842565567332,0.0,163.8538064176298,163.8538064176298,0,46.42752374263856,20000.001373520863,CRUISE,CLEAN,CAS,LEVEL,CONSTANT_CAS,LNAV
0,2022-03-29T07:42:38,1,FOLLOW,21.898096305245744,113.50016655170981,20000.0,310.0,412.7687767329601,0.6719151601600988,0.0,175.0,0.0,67999.28620261098,0.7137973890211554,62055.80743581099,62055.80743581099,0.816642871082602,0.0,0.0,175.0,0,0.0,20000.001398513094,CRUISE,CLEAN,CAS,LEVEL,CONSTANT_CAS,HEADING
1,2022-03-29T07:42:39,0,HEAD,22.38469670385014,113.42853893836623,20000.0,250.0,335.94525860871147,0.5468599491214221,0.0,171.24590136497739,-30.0,67998.86907441198,1.1309255880155509,51901.59712812578,51901.59712812578,0.8656842565567332,0.0,163.8175177243901,163.8175177243901,0,46.25728351669188,20000.001373520863,CRUISE,CLEAN,CAS,LEVEL,CONSTANT_CAS,LNAV
1,2022-03-29T07:42:39,1,FOLLOW,21.89619261049149,113.50033310341962,20000.0,310.0,412.7687767329601,0.6719151601600988,0.0,175.0,0.0,67998.5724071524,1.4275928475920534,62055.63960716481,62055.63960716481,0.816642871082602,0.0,0.0,175.0,0,0.0,20000.001398513094,CRUISE,CLEAN,CAS,LEVEL,CONSTANT_CAS,HEADING
2,2022-03-29T07:42:40,0,HEAD,22.383168098174288,113.42882586933727,20000.0,250.0,335.94525860871147,0.5468599491214221,0.0,169.36885204746608,-30.0,67998.3036159914,1.696384008598188,51901.32951568764,51901.32951568764,0.8656842565567332,0.0,163.78744296748346,163.78744296748346,0,46.086352422801376,20000.001373520863,CRUISE,CLEAN,CAS,LEVEL,CONSTANT_CAS,LNAV
2,2022-03-29T07:42:40,1,FOLLOW,21.894288915737235,113.50049965512943,20000.0,310.0,412.7687767329601,0.6719151601600988,0.0,175.0,0.0,67997.85861362425,2.1413863757381786,62055.47178073422,62055.47178073422,0.816642871082602,0.0,0.0,175.0,0,0.0,20000.001398513094,CRUISE,CLEAN,CAS,LEVEL,CONSTANT_CAS,HEADING
3,2022-03-29T07:42:41,0,HEAD,22.381649711098387,113.42916271556648,20000.0,250.0,335.94525860871147,0.5468599491214221,0.0,167.49180272995477,-30.0,67997.73816048639,2.261839513616438,51901.061906854746,51901.061906854746,0.8656842565567332,0.0,163.76368277448216,163.76368277448216,0,45.91490579069011,20000.001373520863,CRUISE,CLEAN,CAS,LEVEL,CONSTANT_CAS,LNAV
3,2022-03-29T07:42:41,1,FOLLOW,21.89238522098298,113.50066620683924,20000.0,310.0,412.7687767329601,0.6719151601600988,0.0,175.0,0.0,67997.1448220265,2.8551779734850156,62055.30395651921,62055.30395651921,0.816642871082602,0.0,0.0,175.0,0,0.0,20000.001398513094,CRUISE,CLEAN,CAS,LEVEL,CONSTANT_CAS,HEADING
4,2022-03-29T07:42:42,0,HEAD,22.380143172105146,113.42954911556161,20000.0,250.0,335.94525860871147,0.5468599491214221,0.0,165.61475341244346,-30.0,67997.1727078969,2.8272921031095786,51900.79430162701,51900.79430162701,0.8656842565567332,0.0,163.74633308359023,163.74633308359023,0,45.74312114496207,20000.001373520863,CRUISE,CLEAN,CAS,LEVEL,CONSTANT_CAS,LNAV
4,2022-03-29T07:42:42,1,FOLLOW,21.890481526228726,113.50083275854905,20000.0,310.0,412.7687767329601,0.6719151601600988,0.0,175.0,0.0,67996.43103235913,3.568967640858049,62055.13613451974,62055.13613451974,0.816642871082602,0.0,0.0,175.0,0,0.0,20000.001398513094,CRUISE,CLEAN,CAS,LEVEL,CONSTANT_CAS,HEADING
5,2022-03-29T07:42:43,0,HEAD,22.378650097962314,113.42998465465102,20000.0,250.0,335.94525860871147,0.5468599491214221,0.0,163.73770409493216,-30.0,67996.6072582229,3.3927417771168873,51900.52670000438,51900.52670000438,0.8656842565567332,0.0,163.7354847903016,163.7354847903016,0,45.57117807293066,20000.001373520863,CRUISE,CLEAN,CAS,LEVEL,CONSTANT_CAS,LNAV
5,2022-03-29T07:42:43,1,FOLLOW,21.88857783147447,113.50099931025886,20000.0,310.0,412.7687767329601,0.6719151601600988,0.0,175.0,0.0,67995.71724462211,4.282755377882763,62054.968314735794,62054.968314735794,0.816642871082602,0.0,0.0,175.0,0,0.0,20000.001398513094,CRUISE,CLEAN,CAS,LEVEL,CONSTANT_CAS,HEADING
6,2022-03-29T07:42:44,0,HEAD,22.37715707309276,113.43042036261892,20000.0,250.0,335.94525860871147,0.5468599491214221,0.0,163.73122338213898,-30.0,67996.04181146434,3.9581885356776403,51900.259101986834,51900.259101986834,0.8656842565567332,0.0,163.73122338213898,163.73122338213898,0,45.39925808448525,20000.001373520863,CRUISE,CLEAN,CAS,LEVEL,CONSTANT_CAS,LNAV
6,2022-03-29T07:42:44,1,FOLLOW,21.886674136720217,113.50116586196867,20000.0,310.0,412.7687767329601,0.6719151601600988,0.0,175.0,0.0,67995.00345881541,4.9965411845846415,62054.80049716737,62054.80049716737,0.816642871082602,0.0,0.0,175.0,0,0.0,20000.001398513094,CRUISE,CLEAN,CAS,LEVEL,CONSTANT_CAS,HEADING
7,2022-03-29T07:42:45,0,HEAD,22.37566408070434,113.43085618187332,20000.0,250.0,335.94525860871147,0.5468599491214221,0.0,163.72695264531762,-30.0,67995.47636762119,4.523632378831114,51899.991507574276,51899.991507574276,0.8656842565567332,0.0,163.72695264531762,163.72695264531762,0,45.22733861796832,20000.001373520863,CRUISE,CLEAN,CAS,LEVEL,CONSTANT_CAS,LNAV
7,2022-03-29T07:42:45,1,FOLLOW,21.884770441965962,113.50133241367848,20000.0,310.0,412.7687767329601,0.6719151601600988,0.0,175.0,0.0,67994.289674939,5.7103250609891685,62054.63268181445,62054.63268181445,0.816642871082602,0.0,0.0,175.0,0,0.0,20000.001398513094,CRUISE,CLEAN,CAS,LEVEL,CONSTANT_CAS,HEADING
8,2022-03-29T07:42:46,0,HEAD,22.37417112093736,113.43129211286393,20000.0,250.0,335.94525860871147,0.5468599491214221,0.0,163.722664557131,-30.0,67994.9109266934,5.089073306616584,51899.72391676667,51899.72391676667,0.8656842565567332,0.0,163.722664557131,163.722664557131,0,45.05541953947419,20000.001373520863,CRUISE,CLEAN,CAS,LEVEL,CONSTANT_CAS,LNAV
8,2022-03-29T07:42:46,1,FOLLOW,21.882866747211708,113.5014989653883,20000.0,310.0,412.7687767329601,0.6719151601600988,0.0,175.0,0.0,67993.57589299287,6.424107007121826,62054.46486867697,62054.46486867697,0.816642871082602,0.0,0.0,175.0,0,0.0,20000.001398513094,CRUISE,CLEAN,CAS,LEVEL,CONSTANT_CAS,HEADING
9,2022-03-29T07:42:47,0,HEAD,22.372678193933275,113.43172815604399,20000.0,250.0,335.94525860871147,0.5468599491214221,0.0,163.71835898069878,-30.0,67994.34548868093,5.6545113190733245,51899.45632956398,51899.45632956398,0.8656842565567332,0.0,163.71835898069878,163.71835898069878,0,44.88350085112434,20000.001373520863,CRUISE,CLEAN,CAS,LEVEL,CONSTANT_CAS,LNAV
9,2022-03-29T07:42:47,1,FOLLOW,21.880963052457453,113.5016655170981,20000.0,310.0,412.7687767329601,0.6719151601600988,0.0,175.0,0.0,67992.86211297699,7.137887023008099,62054.297057754964,62054.297057754964,0.816642871082602,0.0,0.0,175.0,0,0.0,20000.001398513094,CRUISE,CLEAN,CAS,LEVEL,CONSTANT_CAS,HEADING
